nplv,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г683863<979,20.0,42.05,18.7166667,42.05,2.6927711,0.459085,0.124202,0.218667,0.192129,0.0404023,1602.0,1590.0,13.9134364,12951.0240427,112.3,1.0,19.502,0.19,0.05,0.492,0.059,0.02,0.051071,0.204,0.339,0.221,4040.0,0.001,0.418,0.316,0.12,0.604,0.007,0.011,0.073,0.007,0.021,0.404,0.001,0.002,0.003,0.762,0.0002,0.418,0.118,0.796,0.006,0.013,0.073,0.007,0.013,0.567,0.003,0.038,,49.5,0.8,16.5,0.39,1.8,,,50.9,0.3,13.2,0.13,2.0,
г683863<97:,23.0,41.6666667,20.1833333,41.6666667,2.8292254,0.454145,0.088234,0.182319,0.153034,0.040831,1582.0,1596.0,15.8487097,13029.5623452,115.8,1.0,21.836,,0.05,0.494,0.059,0.02,0.051613,0.159,0.283,0.157,4383.0,0.002,0.422,0.344,0.1,0.644,0.006,0.01,0.069,0.007,0.021,0.455,0.002,0.002,0.003,0.756,0.0003,0.416,0.101,0.794,0.005,0.013,0.07,0.008,0.017,0.56,0.003,0.037,,49.9,0.7,12.8,0.2,2.3,,,49.0,1.0,12.6,0.2,2.2,
г683863<97;,20.0,41.7,19.75,41.7,2.6856218,0.358415,0.066878,0.0733725,0.087436,0.0395439,1570.0,1595.0,11.5726619,13278.9873418,110.8,1.0,16.086,0.105,0.05,0.384,0.059,0.02,0.049986,0.104,0.113,0.119,4371.0,0.002,0.478,0.359,0.102,0.718,0.006,0.01,0.066,0.009,0.018,0.49,0.002,0.002,0.004,0.756,0.0004,0.415,0.101,0.782,0.005,0.012,0.066,0.009,0.016,0.568,0.003,0.037,,58.8,0.6,10.4,0.13,2.7,,,61.1,0.4,7.2,0.09,2.6,
г683863<97<,18.0,45.55,22.6833333,45.55,2.5764547,0.413835,0.08149,0.142817,0.14155,0.0414038,1567.0,1586.0,10.8065862,13191.1829537,115.6,1.0,16.408,0.094,0.05,0.447,0.059,0.02,0.052337,0.158,0.222,0.145,4987.0,0.002,0.451,0.353,0.103,0.671,0.007,0.011,0.073,0.008,0.02,0.457,0.002,0.002,0.004,0.767,0.0004,0.419,0.103,0.793,0.006,0.013,0.073,0.009,0.015,0.565,0.003,0.038,,55.4,0.4,10.6,0.15,2.6,,,51.8,0.9,9.2,0.18,2.4,
г683863<97>,14.0,44.7,18.35,44.7,2.7123288,0.515295,0.15055,0.2530415,0.2321,0.0417179,1580.0,1581.0,17.0238772,13873.5694823,113.9,1.0,25.271,0.191,0.05,0.555,0.026,0.02,0.052734,0.251,0.394,0.269,4243.0,0.001,0.371,0.292,0.097,0.566,0.006,0.013,0.07,0.006,0.026,0.367,0.001,0.001,0.003,0.762,0.0003,0.418,0.098,0.792,0.005,0.015,0.07,0.008,0.019,0.57,0.003,0.036,,50.3,0.8,17.2,0.62,1.9,,,53.3,0.4,14.9,0.14,2.0,
г683863<97?,8.0,41.3333333,17.4833333,41.3333333,2.9575472,0.464805,0.144522,0.2192265,0.1827,0.0412891,1599.0,1590.0,19.2883065,13971.0200191,116.0,1.0,26.575,0.202,0.05,0.495,0.034,0.02,0.052192,0.189,0.342,0.259,4071.0,0.001,0.413,0.299,0.104,0.588,0.007,0.013,0.073,0.007,0.023,0.405,0.001,0.002,0.003,0.75,0.0003,0.419,0.103,0.782,0.006,0.014,0.072,0.008,0.016,0.56,0.003,0.038,,49.8,0.5,16.6,0.27,1.9,,,55.3,0.4,10.8,0.13,2.2,
г683863<986,7.0,40.1833333,14.7333333,40.1833333,2.519573,0.4381,0.103788,0.1343175,0.15535,0.038256,1601.0,1591.0,10.7169749,13398.1900452,111.4,1.0,14.328,0.047,0.05,0.473,0.024,0.02,0.048358,0.183,0.208,0.186,3290.0,0.002,0.414,0.327,0.102,0.661,0.01,0.012,0.08,0.009,0.025,0.414,0.001,0.004,0.003,0.771,0.0002,0.416,0.1,0.787,0.009,0.014,0.079,0.01,0.019,0.558,0.003,0.039,,50.2,0.6,17.2,0.39,1.9,,,52.9,0.4,14.4,0.14,2.0,
г683863<987,8.0,40.2,14.3666667,40.2,2.6617647,0.496515,0.128898,0.1946745,0.125525,0.0409458,1606.0,1590.0,10.4514925,13510.4408353,115.3,1.0,14.005,0.058,0.05,0.538,0.027,0.02,0.051758,0.111,0.305,0.231,3235.0,0.002,0.387,0.309,0.098,0.61,0.008,0.011,0.07,0.008,0.023,0.428,0.001,0.002,0.003,0.753,0.0002,0.415,0.096,0.784,0.007,0.013,0.07,0.008,0.017,0.551,0.003,0.039,,51.3,1.1,16.6,0.3,2.0,,,47.6,0.5,9.4,0.11,2.1,
г683863<988,6.0,40.7,21.1333333,40.7,2.0,0.441975,0.060822,0.156255,0.113015,0.0409458,1565.0,1598.0,17.9526316,13835.0157729,115.1,1.0,24.256,0.058,0.05,0.485,0.049,0.02,0.051758,0.108,0.243,0.109,4873.0,0.002,0.428,0.368,0.11,0.652,0.011,0.011,0.086,0.011,0.025,0.468,0.002,0.002,0.003,0.755,0.0003,0.419,0.11,0.794,0.011,0.012,0.086,0.012,0.019,0.563,0.003,0.039,,58.3,0.7,14.5,0.16,2.5,,,57.4,0.6,11.4,0.1,2.5,
г683863<989,7.0,42.05,14.5333333,42.05,3.0,0.504485,0.109926,0.181734,0.147237,0.0404023,1613.0,1597.0,19.239239,13859.1743119,113.9,1.0,26.967,0.175,0.05,0.552,0.056,0.02,0.051071,0.15,0.281,0.197,3357.0,0.001,0.395,0.322,0.101,0.62,0.007,0.012,0.067,0.008,0.024,0.426,0.001,0.003,0.003,0.763,0.0002,0.416,0.101,0.79,0.006,0.012,0.067,0.01,0.015,0.555,0.003,0.038,,52.9,0.3,14.4,0.43,2.0,,,50.0,0.5,17.1,0.13,2.0,
г683863<98:,10.0,42.2166667,20.0166667,42.2166667,2.8357488,0.51542,0.151776,0.2239805,0.162169,0.0409742,1587.0,1595.0,11.1148046,14145.2123231,115.5,1.0,15.641,0.189,0.05,0.556,,0.02,0.051794,0.155,0.347,0.272,4719.0,0.001,0.391,0.29,0.108,0.591,0.01,0.011,0.09,0.007,0.023,0.412,0.001,0.002,0.003,0.757,0.0002,0.417,0.107,0.789,0.01,0.012,0.089,0.008,0.019,0.559,0.003,0.038,,46.2,1.0,21.4,0.43,1.8,,,52.0,0.5,14.4,0.15,2.0,
г683863<98;,11.0,42.1666667,21.2166667,42.1666667,2.852194,0.44914,0.114948,0.1736465,0.09784,0.0399442,1566.0,1597.0,9.2685714,13758.051846,111.6,1.0,12.976,0.047,0.05,0.483,0.035,0.02,0.050492,0.077,0.27,0.206,4865.0,0.002,0.412,0.315,0.106,0.625,0.007,0.01,0.076,0.006,0.023,0.477,0.001,0.002,0.003,0.759,0.0001,0.415,0.106,0.787,0.006,0.012,0.076,0.007,0.018,0.558,0.003,0.038,,56.0,0.6,14.3,0.3,2.1,,,57.3,0.7,8.3,0.15,2.2,
г683863<98=,7.0,41.35,22.25,41.35,3.0,0.332105,0.079794,0.073425,0.074601,0.0394292,1557.0,1599.0,15.3083434,13849.8876404,115.4,1.0,21.1,,0.05,0.349,0.094,0.02,0.049841,0.084,0.113,0.143,5136.0,0.003,0.517,0.35,0.106,0.71,0.007,0.01,0.071,0.014,0.023,0.48,0.003,0.004,0.004,0.767,0.0001,0.425,0.106,0.789,0.006,0.012,0.071,0.015,0.019,0.553,0.004,0.038,,62.1,0.8,8.3,0.14,3.0,,,60.9,0.9,5.3,0.11,2.7,
г683863<99?,5.0,44.85,21.75,44.85,3.0418687,0.42926,0.098208,0.112548,0.120321,0.0415344,1616.0,1627.0,12.9004552,13591.7241379,113.2,1.0,18.892,0.148,0.05,0.464,0.033,0.02,0.052192,0.138,0.173,0.176,4927.0,0.002,0.451,0.335,0.09,0.703,0.007,0.01,0.07,0.011,0.017,0.457,0.002,0.003,0.004,0.748,0.0006,0.418,0.091,0.802,0.006,0.011,0.071,0.011,0.01,0.557,0.003,0.037,,57.1,0.6,15.7,0.13,2.5,,,56.9,0.5,9.6,0.11,2.5,
г683863<9:6,5.0,48.6833333,22.65,48.6833333,3.7667044,0.38437,0.090396,0.1131445,0.090125,0.0413617,1583.0,1606.0,10.5047022,13729.8013245,112.3,1.0,16.755,0.079,0.05,0.41,0.035,0.02,0.051975,0.091,0.175,0.162,5183.0,0.002,0.481,0.341,0.102,0.686,0.008,0.01,0.075,0.009,0.019,0.478,0.002,0.003,0.003,0.772,0.0005,0.414,0.098,0.781,0.006,0.011,0.074,0.009,0.016,0.557,0.003,0.037,,58.4,0.6,12.9,0.08,2.6,,,57.6,0.5,12.2,0.13,2.7,
г683863<9:7,15.0,50.7166667,23.6333333,50.7166667,3.5705911,0.44232,0.116064,0.2363245,0.174632,0.0430886,1581.0,1597.0,12.0293267,14196.8970381,114.3,1.0,20.099,0.324,0.05,0.472,0.035,0.02,0.054145,0.169,0.366,0.208,5592.0,0.001,0.437,0.323,0.107,0.587,0.008,0.009,0.071,0.006,0.032,0.42,0.001,0.002,0.004,0.762,0.001,0.42,0.107,0.795,0.007,0.012,0.071,0.007,0.018,0.557,0.003,0.039,,49.5,0.8,16.5,0.43,2.0,,,56.7,0.5,9.6,0.18,2.2,
г683863<9:8,20.0,46.7166667,26.0,46.7166667,3.628266,0.49625,0.104904,0.1829115,0.114618,0.0429732,1569.0,1600.0,5.5468833,12821.5384615,116.7,1.0,8.157,,0.17,0.439,0.0549999999999999,0.02,0.054,0.099,0.284,0.188,5556.0,0.002,0.408,0.335,0.106,0.646,0.008,0.009,0.076,0.01,0.026,0.469,0.002,0.003,0.004,0.765,0.0002,0.418,0.105,0.798,0.007,0.011,0.076,0.01,0.022,0.577,0.004,0.039,,52.9,1.2,8.6,0.13,2.6,,,56.8,0.6,8.6,0.18,2.1,
г683863<9:9,21.0,46.5166667,22.7,46.5166667,2.6361243,0.37877,0.109368,0.1270565,0.115942,0.0421965,1558.0,1608.0,10.8496596,13482.8193833,113.8,1.0,16.823,0.179,0.05,0.399,0.102,0.02,0.053024,0.125,0.196,0.196,5101.0,0.002,0.479,0.323,0.111,0.674,0.007,0.011,0.073,0.008,0.022,0.466,0.002,0.002,0.003,0.76,0.0002,0.416,0.113,0.79,0.006,0.012,0.073,0.009,0.013,0.56,0.003,0.04,,53.1,0.6,14.1,0.25,2.1,,,58.3,0.7,8.2,0.18,2.2,
г683863<9::,23.0,45.3333333,24.3333333,45.3333333,2.6120968,0.43007,0.095976,0.174503,0.107767,0.0434913,1562.0,1595.0,14.5675514,13228.7671233,117.5,1.0,21.649,0.052,0.05,0.463,0.059,0.02,0.054651,0.092,0.271,0.172,5365.0,0.002,0.429,0.337,0.096,0.652,0.007,0.01,0.068,0.006,0.019,0.474,0.002,0.003,0.004,0.759,0.0004,0.412,0.099,0.788,0.006,0.011,0.07,0.008,0.013,0.563,0.003,0.039,,53.4,1.1,16.3,0.25,2.4,,,56.8,0.4,8.9,0.07,2.2,
г683863<9:;,28.0,40.8333333,21.7833333,40.8333333,2.0,0.37562,0.097092,0.1369045,0.073451,0.0417357,1557.0,1592.0,9.2525728,13375.3634277,112.1,1.0,12.437,,0.05,0.397,0.049,0.02,0.052445,0.055,0.213,0.174,4856.0,0.002,0.465,0.334,0.114,0.678,0.007,0.009,0.069,0.007,0.021,0.5,0.002,0.002,0.003,0.762,0.0001,0.416,0.113,0.796,0.007,0.012,0.07,0.008,0.016,0.57,0.004,0.039,,53.0,0.5,14.9,0.13,2.4,,,49.7,0.4,6.5,0.06,2.4,
г683863<9:<,26.0,45.8833333,22.55,45.8833333,2.0,0.39676,0.075888,0.113972,0.098752,0.0413904,1575.0,1575.0,9.4321831,13559.2017738,114.4,1.0,14.426,0.052,0.05,0.428,0.069,0.02,0.052011,0.104,0.176,0.136,5096.0,0.002,0.424,0.353,0.095,0.688,0.011,0.01,0.091,0.008,0.02,0.473,0.002,0.002,0.003,0.772,0.0001,0.419,0.099,0.792,0.011,0.01,0.094,0.009,0.016,0.561,0.003,0.039,,52.5,0.7,13.8,0.27,2.3,,,55.0,0.7,10.1,0.08,2.3,
г683863<9:=,29.0,46.5333333,20.7833333,46.5333333,3.0465444,0.42749,0.104904,0.1518625,0.089222,0.0420811,1577.0,1587.0,6.9819614,12924.7794707,113.5,1.0,10.343,,0.05,0.459,0.047,0.02,0.052879,0.073,0.236,0.188,4477.0,0.002,0.442,0.325,0.108,0.668,0.007,0.009,0.073,0.007,0.023,0.51,0.002,0.002,0.003,0.754,0.0001,0.413,0.108,0.78,0.006,0.011,0.073,0.007,0.019,0.546,0.003,0.039,,47.7,0.5,11.8,0.14,2.4,,,58.2,0.8,9.3,0.1,2.3,
г683863<9:>,31.0,44.0333333,20.85,44.0333333,2.4962575,0.42596,0.10602,0.1499155,0.115814,0.0430313,1573.0,1590.0,11.1755762,12943.8848921,115.0,1.0,15.354,0.117,0.05,0.457,0.038,0.02,0.054073,0.115,0.232,0.19,4498.0,0.002,0.44,0.324,0.106,0.645,0.01,0.01,0.091,0.007,0.021,0.463,0.002,0.002,0.003,0.769,0.0003,0.412,0.106,0.782,0.011,0.011,0.096,0.008,0.017,0.551,0.003,0.041,,48.1,0.5,14.3,0.27,2.3,,,55.1,0.7,10.4,0.19,2.1,
г683863<9:?,33.0,40.0166667,18.3333333,40.0166667,2.5659341,0.430025,0.10881,0.162971,0.131704,0.0428873,1578.0,1598.0,10.2879633,13212.0,115.8,1.0,13.723,,0.05,0.461,0.038,0.02,0.053892,0.134,0.252,0.195,4037.0,0.002,0.448,0.324,0.106,0.655,0.007,0.014,0.074,0.007,0.021,0.462,0.002,0.002,0.003,0.734,0.0004,0.412,0.106,0.787,0.006,0.016,0.075,0.008,0.016,0.56,0.003,0.038,,55.6,1.2,20.0,0.31,2.5,,,56.6,0.5,12.4,0.09,2.2,
г683863<9;6,26.0,42.0333333,20.2,42.0333333,2.692381,0.447265,0.10881,0.196025,0.133108,0.0429732,1568.0,1593.0,6.4071731,13140.5940594,114.5,1.0,8.833,,0.05,0.481,,0.02,0.054,0.122,0.304,0.195,4424.0,0.002,0.414,0.323,0.103,0.621,0.014,0.015,0.092,0.006,0.021,0.452,0.002,0.002,0.003,0.781,0.0001,0.413,0.103,0.782,0.013,0.018,0.092,0.007,0.018,0.576,0.003,0.04,,43.6,0.3,11.4,0.21,2.1,,,57.6,0.4,7.6,0.09,2.1,
г683863<9;7,29.0,41.1833333,21.6333333,41.1833333,2.0,0.385155,0.093186,0.1246755,0.094611,0.0424551,1560.0,1591.0,8.1520842,13307.2419106,114.8,1.0,11.191,,0.05,0.41,0.074,0.02,0.053349,0.093,0.193,0.167,4798.0,0.002,0.452,0.337,0.116,0.676,0.007,0.013,0.077,0.008,0.022,0.469,0.002,0.002,0.003,0.755,0.0001,0.415,0.115,0.785,0.006,0.013,0.077,0.008,0.014,0.558,0.003,0.039,,57.7,0.9,13.7,0.26,2.6,,,48.7,0.9,4.6,0.08,2.4,
г683863<9;8,32.0,40.2,22.2166667,40.2,2.0,0.420645,0.083142,0.11679,0.082737,0.0423111,1556.0,1577.0,6.6955224,13117.1792948,114.0,1.0,8.972,,0.05,0.456,0.061,0.02,0.053168,0.078,0.181,0.149,4857.0,0.002,0.41,0.345,0.109,0.685,0.013,0.012,0.097,0.007,0.022,0.472,0.002,0.002,0.004,0.76,0.0003,0.418,0.111,0.792,0.012,0.013,0.098,0.008,0.016,0.557,0.003,0.039,,56.1,0.4,11.4,0.14,2.6,,,53.0,0.7,8.3,0.18,2.1,
г683863<9;9,31.0,42.3666667,20.35,42.3666667,2.5900044,0.436795,0.08091,0.100727,0.102835,0.0428873,1564.0,1587.0,7.1311039,12881.5724816,115.8,1.0,9.833,,0.05,0.477,0.071,0.02,0.053892,0.116,0.155,0.145,4369.0,0.002,0.432,0.349,0.11,0.697,0.008,0.013,0.08,0.009,0.021,0.459,0.002,0.003,0.003,0.765,0.0007,0.413,0.11,0.78,0.008,0.014,0.08,0.01,0.016,0.563,0.003,0.039,,59.1,0.4,12.5,0.11,2.5,,,57.7,0.9,5.8,0.07,2.5,
г683863<9;:,27.0,43.35,22.4833333,42.85,2.6094975,0.45269,0.098208,0.162332,0.131527,0.0428873,1553.0,1579.0,8.8396733,13097.7020015,115.9,1.0,12.626,,0.05,0.491,0.07,0.02,0.053892,0.134,0.251,0.176,4908.0,0.001,0.424,0.334,0.118,0.658,0.012,0.012,0.086,0.007,0.023,0.45,0.001,0.002,0.003,0.78,0.0001,0.417,0.117,0.806,0.011,0.015,0.086,0.008,0.017,0.586,0.003,0.039,,50.5,0.5,10.8,0.22,2.3,,,54.6,0.7,8.8,0.09,2.3,
г683863<9;;,30.0,46.5166667,19.4833333,46.5166667,2.6853043,0.45373,0.085932,0.12559,0.107138,0.0420525,1576.0,1585.0,7.2788321,13503.849444,113.9,1.0,7.202,,0.05,0.496,0.069,0.02,0.052843,0.112,0.194,0.154,4385.0,0.002,0.392,0.344,0.109,0.674,0.008,0.013,0.074,0.009,0.025,0.462,0.002,0.002,0.003,0.733,,0.419,0.109,0.795,0.007,0.014,0.074,0.011,0.021,0.57,0.003,0.04,,53.4,0.9,13.0,0.17,2.3,,,56.3,1.0,6.7,0.1,2.4,
г683863<9;<,29.0,48.5,20.0,48.5,2.7126623,0.42759,0.114948,0.184871,0.145522,0.0440961,1503.0,1585.0,12.6395876,14451.0,115.9,1.0,20.434,0.153,0.05,0.456,0.048,0.02,0.055411,0.146,0.286,0.206,4817.0,0.001,0.459,0.323,0.13,0.622,0.009,0.013,0.079,0.007,0.02,0.44,0.001,0.002,0.003,0.77,0.0001,0.418,0.131,0.784,0.009,0.013,0.078,0.008,0.015,0.549,0.003,0.04,,45.5,0.6,10.4,0.24,2.2,,,55.5,0.8,10.7,0.19,2.1,
г683863<9;=,35.0,42.8833333,18.55,42.8833333,2.0,0.42673,0.120528,0.2084405,0.177244,0.0416498,1569.0,1581.0,10.5159736,14338.5444744,115.3,1.0,15.032,0.174,0.05,0.453,0.036,0.02,0.052337,0.185,0.322,0.216,4433.0,0.001,0.453,0.32,0.113,0.612,0.009,0.014,0.075,0.008,0.022,0.415,0.001,0.002,0.003,0.782,0.0005,0.42,0.112,0.796,0.008,0.015,0.075,0.009,0.018,0.577,0.003,0.039,,50.1,1.1,13.4,0.58,1.9,,,52.9,0.6,13.2,0.13,2.0,
г683863<9;>,38.0,44.5333333,21.0333333,44.5333333,3.5248918,0.407525,0.083142,0.112026,0.096921,0.040815,1550.0,1594.0,10.9441617,13441.5213946,115.6,1.0,16.246,0.059,0.05,0.44,0.048,0.02,0.051288,0.102,0.173,0.149,4712.0,0.002,0.475,0.348,0.097,0.686,0.007,0.012,0.07,0.01,0.023,0.463,0.002,0.002,0.003,0.765,0.0002,0.419,0.097,0.789,0.006,0.013,0.07,0.011,0.017,0.556,0.003,0.038,,54.4,0.9,15.4,0.25,2.4,,,57.9,0.9,6.5,0.1,2.5,
г683863<9<7,49.0,43.0166667,23.6166667,41.1833333,3.65625,0.451135,0.073098,0.1056785,0.125524,0.0403829,1537.0,1597.0,10.997923,14250.1058574,115.1,1.0,15.003,0.059,0.05,0.496,0.049,0.02,0.050745,0.149,0.162,0.131,5609.0,0.002,0.432,0.357,0.098,0.696,0.008,0.009,0.074,0.012,0.02,0.462,0.002,0.003,0.003,0.757,0.0003,0.418,0.097,0.789,0.007,0.012,0.074,0.013,0.016,0.569,0.003,0.038,,57.5,0.6,13.5,0.23,2.5,,,49.6,0.5,6.9,0.11,2.5,
