nplv,DT,ПРОФИЛЬ,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,произв  количество плавок,произв количество плавок (цел),расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г683863<988,2070-06-25 12:17:00,Р65,6.0,40.7,21.1333333,40.7,2.0,0.441975,0.060822,0.156255,0.113015,0.040945800000000004,1565.0,1598.0,17.952631600000004,13835.0157729,115.1,1.0,1.0,1.0,24.256,0.057999999999999996,0.05,0.485,0.049,0.02,0.051758000000000005,0.10800000000000001,0.243,0.109,4873.0,0.002,0.428,0.368,0.11,0.652,0.011000000000000001,0.011000000000000001,0.086,0.011000000000000001,0.025,0.46799999999999997,0.002,0.002,0.003,0.755,0.0003,0.419,0.11,0.794,0.011000000000000001,0.012,0.086,0.012,0.019,0.563,0.003,0.039,0.0,58.3,0.7,14.5,0.16,2.5,0.0,,57.4,0.6,11.4,0.1,2.5,
г683863<989,2070-06-25 13:08:00,Р65,7.0,42.05,14.5333333,42.05,3.0,0.5044850000000001,0.109926,0.18173399999999998,0.14723699999999998,0.0404023,1613.0,1597.0,19.239239,13859.174311899998,113.9,1.0,1.0,1.0,26.967,0.175,0.05,0.552,0.055999999999999994,0.02,0.051071,0.15,0.281,0.19699999999999998,3357.0,0.001,0.395,0.322,0.10099999999999999,0.62,0.006999999999999999,0.012,0.067,0.008,0.024,0.426,0.001,0.003,0.003,0.763,0.0002,0.41600000000000004,0.10099999999999999,0.79,0.006,0.012,0.067,0.01,0.015,0.555,0.003,0.038,0.0,52.9,0.3,14.4,0.43,2.0,0.0,,50.0,0.5,17.1,0.13,2.0,
г683863<98:,2070-06-25 14:00:00,Р65,10.0,42.216666700000005,20.0166667,42.216666700000005,2.8357487999999997,0.51542,0.151776,0.22398049999999997,0.162169,0.040974199999999995,1587.0,1595.0,11.1148046,14145.2123231,115.5,1.0,1.0,1.0,15.640999999999998,0.18899999999999997,0.05,0.556,,0.02,0.05179400000000001,0.155,0.34700000000000003,0.272,4719.0,0.001,0.391,0.29,0.10800000000000001,0.591,0.01,0.011000000000000001,0.09,0.006999999999999999,0.023,0.41200000000000003,0.001,0.002,0.003,0.757,0.0002,0.41700000000000004,0.107,0.789,0.01,0.012,0.08900000000000001,0.008,0.019,0.5589999999999999,0.003,0.038,0.0,46.2,1.0,21.4,0.43,1.8,0.0,,52.0,0.5,14.4,0.15,2.0,
г683863<98;,2070-06-25 14:54:00,Р65,11.0,42.1666667,21.216666699999998,42.1666667,2.852194,0.44914,0.11494800000000001,0.17364649999999998,0.09784,0.03994419999999999,1566.0,1597.0,9.2685714,13758.051846,111.6,1.0,1.0,1.0,12.975999999999999,0.047,0.05,0.483,0.035,0.02,0.050492,0.077,0.27,0.20600000000000002,4865.0,0.002,0.41200000000000003,0.315,0.106,0.625,0.006999999999999999,0.01,0.076,0.006,0.023,0.47700000000000004,0.001,0.002,0.003,0.759,0.0001,0.415,0.106,0.787,0.006,0.012,0.076,0.006999999999999999,0.018000000000000002,0.5579999999999999,0.003,0.038,0.0,56.0,0.6,14.3,0.3,2.1,0.0,,57.3,0.7,8.3,0.15,2.2,
г683863<98=,2070-06-25 16:53:00,Р65,7.0,41.35,22.25,41.35,3.0,0.33210500000000004,0.079794,0.073425,0.074601,0.0394292,1557.0,1599.0,15.3083434,13849.887640399998,115.4,1.0,1.0,1.0,21.1,,0.05,0.349,0.094,0.02,0.049841,0.084,0.113,0.14300000000000002,5136.0,0.003,0.517,0.35,0.106,0.71,0.006999999999999999,0.01,0.071,0.013999999999999999,0.023,0.48,0.003,0.004,0.004,0.767,0.0001,0.425,0.106,0.789,0.006,0.012,0.071,0.015,0.019,0.5529999999999999,0.004,0.038,0.0,62.1,0.8,8.3,0.14,3.0,0.0,,60.9,0.9,5.3,0.11,2.7,
г683863<99?,2070-06-26 04:09:00,Р65,5.0,44.85,21.75,44.85,3.0418687,0.42926000000000003,0.098208,0.112548,0.120321,0.0415344,1616.0,1627.0,12.9004552,13591.7241379,113.2,1.0,1.0,1.0,18.892,0.14800000000000002,0.05,0.46399999999999997,0.033,0.02,0.052191999999999995,0.138,0.17300000000000001,0.17600000000000002,4927.0,0.002,0.451,0.335,0.09,0.703,0.006999999999999999,0.01,0.07,0.011000000000000001,0.017,0.457,0.002,0.003,0.004,0.748,0.0006,0.418,0.091,0.802,0.006,0.011000000000000001,0.071,0.011000000000000001,0.01,0.557,0.003,0.037000000000000005,0.0,57.1,0.6,15.7,0.13,2.5,0.0,,56.9,0.5,9.6,0.11,2.5,
г683863<9:6,2070-06-26 05:02:00,Р65,5.0,48.6833333,22.65,48.6833333,3.7667044,0.38437,0.090396,0.1131445,0.090125,0.041361699999999994,1583.0,1606.0,10.5047022,13729.8013245,112.3,1.0,1.0,1.0,16.755,0.079,0.05,0.41,0.035,0.02,0.051975,0.091,0.175,0.162,5183.0,0.002,0.48100000000000004,0.341,0.102,0.6859999999999999,0.008,0.01,0.075,0.009000000000000001,0.019,0.478,0.002,0.003,0.003,0.772,0.0005,0.414,0.098,0.7809999999999999,0.006,0.011000000000000001,0.07400000000000001,0.009000000000000001,0.016,0.557,0.003,0.037000000000000005,0.0,58.4,0.6,12.9,0.08,2.6,0.0,,57.6,0.5,12.2,0.13,2.7,
г683863<9:8,2070-06-26 06:56:00,Р65,20.0,46.716666700000005,26.0,46.716666700000005,3.6282660000000004,0.49625,0.104904,0.1829115,0.11461800000000001,0.042973199999999996,1569.0,1600.0,5.5468833,12821.5384615,116.7,1.0,1.0,1.0,8.157,,0.17,0.439,0.054999999999999986,0.02,0.054000000000000006,0.099,0.284,0.188,5556.0,0.002,0.408,0.335,0.106,0.6459999999999999,0.008,0.009000000000000001,0.076,0.01,0.026000000000000002,0.469,0.002,0.003,0.004,0.765,0.0002,0.418,0.105,0.7979999999999999,0.006999999999999999,0.011000000000000001,0.076,0.01,0.022000000000000002,0.5770000000000001,0.004,0.039,0.0,52.9,1.2,8.6,0.13,2.6,0.0,,56.8,0.6,8.6,0.18,2.1,
г683863<9:9,2070-06-26 07:48:00,Р65,21.0,46.5166667,22.7,46.5166667,2.6361242999999996,0.37877,0.109368,0.12705650000000002,0.115942,0.0421965,1558.0,1608.0,10.849659599999999,13482.8193833,113.8,1.0,1.0,1.0,16.823,0.179,0.05,0.39899999999999997,0.102,0.02,0.053024,0.125,0.196,0.196,5101.0,0.002,0.479,0.32299999999999995,0.111,0.674,0.006999999999999999,0.011000000000000001,0.073,0.008,0.022000000000000002,0.466,0.002,0.002,0.003,0.76,0.0002,0.41600000000000004,0.113,0.79,0.006,0.012,0.073,0.009000000000000001,0.013000000000000001,0.56,0.003,0.04,0.0,53.1,0.6,14.1,0.25,2.1,0.0,,58.3,0.7,8.2,0.18,2.2,
г683863<9:;,2070-06-26 09:36:00,Р65,28.0,40.8333333,21.783333300000002,40.8333333,2.0,0.37562,0.097092,0.1369045,0.073451,0.041735699999999994,1557.0,1592.0,9.252572800000001,13375.3634277,112.1,1.0,1.0,1.0,12.437000000000001,,0.05,0.397,0.049,0.02,0.052445000000000006,0.055,0.213,0.174,4856.0,0.002,0.465,0.33399999999999996,0.114,0.6779999999999999,0.006999999999999999,0.009000000000000001,0.069,0.006999999999999999,0.021,0.5,0.002,0.002,0.003,0.762,0.0001,0.41600000000000004,0.113,0.7959999999999999,0.006999999999999999,0.012,0.07,0.008,0.016,0.57,0.004,0.039,0.0,53.0,0.5,14.9,0.13,2.4,0.0,,49.7,0.4,6.5,0.06,2.4,
г683863<9:<,2070-06-26 10:33:00,Р65,26.0,45.8833333,22.55,45.8833333,2.0,0.39676,0.075888,0.113972,0.09875199999999999,0.0413904,1575.0,1575.0,9.4321831,13559.201773800001,114.4,1.0,1.0,1.0,14.425999999999998,0.052000000000000005,0.05,0.428,0.069,0.02,0.052011,0.10400000000000001,0.17600000000000002,0.136,5096.0,0.002,0.424,0.353,0.095,0.688,0.011000000000000001,0.01,0.091,0.008,0.02,0.473,0.002,0.002,0.003,0.772,0.0001,0.419,0.099,0.792,0.011000000000000001,0.01,0.094,0.009000000000000001,0.016,0.561,0.003,0.039,0.0,52.5,0.7,13.8,0.27,2.3,0.0,,55.0,0.7,10.1,0.08,2.3,
г683863<9:=,2070-06-26 11:26:00,Р65,29.0,46.533333299999995,20.783333300000002,46.533333299999995,3.0465444,0.42749,0.104904,0.1518625,0.08922200000000001,0.042081099999999996,1577.0,1587.0,6.9819614,12924.7794707,113.5,1.0,1.0,1.0,10.343,,0.05,0.45899999999999996,0.047,0.02,0.052878999999999995,0.073,0.23600000000000002,0.188,4477.0,0.002,0.442,0.325,0.10800000000000001,0.6679999999999999,0.006999999999999999,0.009000000000000001,0.073,0.006999999999999999,0.023,0.51,0.002,0.002,0.003,0.754,0.0001,0.413,0.10800000000000001,0.78,0.006,0.011000000000000001,0.073,0.006999999999999999,0.019,0.546,0.003,0.039,0.0,47.7,0.5,11.8,0.14,2.4,0.0,,58.2,0.8,9.3,0.1,2.3,
г683863<9;6,2070-06-26 14:13:00,Р65,26.0,42.033333299999995,20.2,42.033333299999995,2.692381,0.44726499999999997,0.10880999999999999,0.196025,0.133108,0.042973199999999996,1568.0,1593.0,6.4071731,13140.5940594,114.5,1.0,1.0,1.0,8.833,,0.05,0.48100000000000004,,0.02,0.054000000000000006,0.122,0.304,0.195,4424.0,0.002,0.414,0.32299999999999995,0.10300000000000001,0.621,0.013999999999999999,0.015,0.092,0.006,0.021,0.452,0.002,0.002,0.003,0.7809999999999999,0.0001,0.413,0.10300000000000001,0.782,0.013000000000000001,0.018000000000000002,0.092,0.006999999999999999,0.018000000000000002,0.5760000000000001,0.003,0.04,0.0,43.6,0.3,11.4,0.21,2.1,0.0,,57.6,0.4,7.6,0.09,2.1,
г683863<9;7,2070-06-26 15:05:00,Р65,29.0,41.1833333,21.6333333,41.1833333,2.0,0.385155,0.093186,0.12467550000000001,0.094611,0.042455099999999996,1560.0,1591.0,8.152084200000001,13307.2419106,114.8,1.0,1.0,1.0,11.190999999999999,,0.05,0.41,0.07400000000000001,0.02,0.053349,0.09300000000000001,0.193,0.16699999999999998,4798.0,0.002,0.452,0.337,0.11599999999999999,0.6759999999999999,0.006999999999999999,0.013000000000000001,0.077,0.008,0.022000000000000002,0.469,0.002,0.002,0.003,0.755,0.0001,0.415,0.115,0.785,0.006,0.013000000000000001,0.077,0.008,0.013999999999999999,0.5579999999999999,0.003,0.039,0.0,57.7,0.9,13.7,0.26,2.6,0.0,,48.7,0.9,4.6,0.08,2.4,
г683863<9;8,2070-06-26 15:57:00,Р65,32.0,40.2,22.216666699999998,40.2,2.0,0.420645,0.083142,0.11679,0.082737,0.0423111,1556.0,1577.0,6.6955224,13117.1792948,114.0,1.0,1.0,1.0,8.972000000000001,,0.05,0.456,0.061,0.02,0.05316799999999999,0.078,0.18100000000000002,0.149,4857.0,0.002,0.41,0.345,0.109,0.685,0.013000000000000001,0.012,0.09699999999999999,0.006999999999999999,0.022000000000000002,0.47200000000000003,0.002,0.002,0.004,0.76,0.0003,0.418,0.111,0.792,0.012,0.013000000000000001,0.098,0.008,0.016,0.557,0.003,0.039,0.0,56.1,0.4,11.4,0.14,2.6,0.0,,53.0,0.7,8.3,0.18,2.1,
г683863<9;9,2070-06-26 16:50:00,Р65,31.0,42.3666667,20.35,42.3666667,2.5900043999999998,0.436795,0.08091,0.100727,0.102835,0.0428873,1564.0,1587.0,7.1311039,12881.5724816,115.8,1.0,1.0,1.0,9.833,,0.05,0.47700000000000004,0.071,0.02,0.053891999999999995,0.11599999999999999,0.155,0.145,4369.0,0.002,0.43200000000000005,0.349,0.11,0.6970000000000001,0.008,0.013000000000000001,0.08,0.009000000000000001,0.021,0.45899999999999996,0.002,0.003,0.003,0.765,0.0007,0.413,0.11,0.78,0.008,0.013999999999999999,0.08,0.01,0.016,0.563,0.003,0.039,0.0,59.1,0.4,12.5,0.11,2.5,0.0,,57.7,0.9,5.8,0.07,2.5,
г683863<9;=,2070-06-26 20:28:00,Р65,35.0,42.8833333,18.55,42.8833333,2.0,0.42673,0.120528,0.20844050000000003,0.177244,0.04164980000000001,1569.0,1581.0,10.515973599999999,14338.5444744,115.3,1.0,1.0,1.0,15.032,0.174,0.05,0.45299999999999996,0.036000000000000004,0.02,0.052337,0.185,0.322,0.21600000000000003,4433.0,0.001,0.45299999999999996,0.32,0.113,0.612,0.009000000000000001,0.013999999999999999,0.075,0.008,0.022000000000000002,0.415,0.001,0.002,0.003,0.782,0.0005,0.42,0.11199999999999999,0.7959999999999999,0.008,0.015,0.075,0.009000000000000001,0.018000000000000002,0.5770000000000001,0.003,0.039,0.0,50.1,1.1,13.4,0.58,1.9,0.0,,52.9,0.6,13.2,0.13,2.0,
г683863<9;>,2070-06-26 21:19:00,Р65,38.0,44.533333299999995,21.033333300000002,44.533333299999995,3.5248918,0.407525,0.083142,0.112026,0.09692100000000001,0.040815,1550.0,1594.0,10.9441617,13441.5213946,115.6,1.0,1.0,1.0,16.246,0.059000000000000004,0.05,0.44,0.048,0.02,0.051288,0.102,0.17300000000000001,0.149,4712.0,0.002,0.475,0.348,0.09699999999999999,0.6859999999999999,0.006999999999999999,0.012,0.07,0.01,0.023,0.46299999999999997,0.002,0.002,0.003,0.765,0.0002,0.419,0.09699999999999999,0.789,0.006,0.013000000000000001,0.07,0.011000000000000001,0.017,0.556,0.003,0.038,0.0,54.4,0.9,15.4,0.25,2.4,0.0,,57.9,0.9,6.5,0.1,2.5,
г683863<9<7,2070-06-27 00:07:00,Р65,49.0,43.0166667,23.6166667,41.1833333,3.65625,0.45113500000000006,0.073098,0.10567850000000001,0.125524,0.0403829,1537.0,1597.0,10.997923,14250.1058574,115.1,1.0,1.0,1.0,15.003,0.059000000000000004,0.05,0.496,0.049,0.02,0.050745,0.149,0.162,0.131,5609.0,0.002,0.43200000000000005,0.35700000000000004,0.098,0.696,0.008,0.009000000000000001,0.07400000000000001,0.012,0.02,0.462,0.002,0.003,0.003,0.757,0.0003,0.418,0.09699999999999999,0.789,0.006999999999999999,0.012,0.07400000000000001,0.013000000000000001,0.016,0.569,0.003,0.038,0.0,57.5,0.6,13.5,0.23,2.5,0.0,,49.6,0.5,6.9,0.11,2.5,
г683863<9<8,2070-06-27 01:00:00,Р65,43.0,44.55,27.383333299999997,44.55,2.7076412,0.46748999999999996,0.07812000000000001,0.111603,0.10468399999999999,0.041822500000000006,1534.0,1595.0,9.624915800000002,13738.2836275,116.7,1.0,1.0,1.0,14.293,,0.05,0.515,0.07,0.02,0.052554,0.114,0.172,0.14,6270.0,0.002,0.405,0.35200000000000004,0.1,0.6829999999999999,0.006999999999999999,0.01,0.07400000000000001,0.01,0.02,0.45,0.002,0.002,0.003,0.753,0.0005,0.42,0.099,0.785,0.006,0.012,0.07400000000000001,0.012,0.017,0.561,0.004,0.039,0.0,57.6,0.5,10.5,0.18,2.2,0.0,,58.5,0.7,5.3,0.09,2.5,
г683863<9<9,2070-06-27 01:56:00,Р65,41.0,40.2,15.05,40.2,3.0,0.4871,0.121644,0.16493,0.15237799999999999,0.041217699999999996,1579.0,1582.0,11.7671642,14061.1295681,115.4,1.0,1.0,1.0,15.767999999999999,,0.05,0.529,0.038,0.02,0.05179400000000001,0.16399999999999998,0.254,0.218,3527.0,0.002,0.4,0.316,0.096,0.637,0.006999999999999999,0.011000000000000001,0.065,0.008,0.018000000000000002,0.429,0.001,0.002,0.003,0.77,0.0002,0.41600000000000004,0.09699999999999999,0.7829999999999999,0.006,0.013000000000000001,0.066,0.009000000000000001,0.015,0.561,0.003,0.038,0.0,53.2,0.8,13.7,0.41,2.2,0.0,,52.4,0.4,12.7,0.16,2.1,
г683863<9<;,2070-06-27 03:46:00,Р65,32.0,43.8666667,12.816666699999999,43.8666667,3.0315421000000002,0.501045,0.128898,0.16116,0.153936,0.0407282,1608.0,1581.0,8.5322673,14011.443433000002,114.1,1.0,1.0,1.0,12.45,,0.05,0.545,0.049,0.02,0.051179,0.168,0.248,0.231,2993.0,0.002,0.396,0.309,0.095,0.665,0.006,0.011000000000000001,0.062,0.009000000000000001,0.02,0.43799999999999994,0.002,0.002,0.003,0.768,0.0002,0.418,0.096,0.799,0.005,0.013000000000000001,0.063,0.011000000000000001,0.017,0.58,0.003,0.038,0.0,50.9,0.6,10.9,0.11,2.2,0.0,,55.3,0.3,9.9,0.09,2.0,
г683863<9<<,2070-06-27 04:40:00,Р65,32.0,44.3333333,19.6,44.3333333,2.7868339,0.47855,0.12834,0.144243,0.162912,0.0406129,1577.0,1585.0,12.0322556,13891.8367347,115.3,1.0,1.0,1.0,17.781,0.115,0.05,0.518,0.037000000000000005,0.02,0.051033999999999996,0.18899999999999997,0.221,0.23,4538.0,0.002,0.395,0.31,0.10800000000000001,0.6579999999999999,0.006999999999999999,0.012,0.073,0.009000000000000001,0.021,0.426,0.001,0.002,0.003,0.775,0.0002,0.41600000000000004,0.10800000000000001,0.784,0.006,0.013000000000000001,0.07200000000000001,0.01,0.017,0.56,0.003,0.038,0.0,50.5,0.7,14.7,0.4,2.0,0.0,,54.4,0.4,10.1,0.1,2.0,
