#,химшлак последний Al2O3,химшлак последний CaO,химшлак последний R,химшлак последний SiO2
111,4.4897313025,57.1711762864,2.45,24.2658204517
112,4.4754216535,57.9947705008,2.35,24.070404625
113,4.4105063107,57.4148239565,2.36,24.1160114829
114,4.8572225844,57.0709884816,2.4,23.8028902689
115,4.693133648,56.5946577162,2.12,23.8695007893
116,4.4769008048,57.4511684209,2.15,24.7598758243
117,4.6863513011,55.6266975386,2.36,24.2250951903
118,4.5406064676,54.9622056662,2.12,24.3517839167
119,4.2870216184,56.4914074898,2.41,24.4161473547
120,4.5197517804,56.6275927391,2.23,24.295869893
121,4.7257300779,57.3759513706,2.41,23.9070099048
122,4.5365525885,55.2508714417,2.12,24.2740022411
123,4.8090534073,55.1912669709,2.12,23.5290429952
124,4.7546444517,56.0369366233,2.15,23.4769254097
125,5.5105375887,60.1897084861,2.34,20.4108698432
126,4.5975118985,56.0936079153,2.3,23.3575719097
127,4.6324836889,56.451681918,2.59,23.627988978
128,4.5303038926,55.267713555,2.12,24.1221172246
129,4.9814107114,58.0758702924,2.51,22.9073981637
130,4.7910250881,57.8235205578,2.66,24.1160864721
131,4.6368396358,55.3219900464,2.38,24.0786681853
132,4.9161268524,57.5773484247,2.66,23.737462916
133,4.5550030942,56.1110282592,2.23,23.7483376362
134,4.3611677941,54.7461372973,2.09,24.3018300593
135,4.6978154124,56.6131740585,2.14,23.6039628988
136,4.4526768482,55.0545268603,2.14,24.0482346075
137,4.6182157785,55.536300944,2.34,23.835352092
138,4.7826422074,56.6159341282,2.13,23.7549453317
139,4.2051880931,54.7606853442,2.12,24.983309856
140,4.5458788512,54.7717699827,2.51,23.1426144767
141,4.6088468974,56.827815643,2.15,23.690721021
142,4.446522032,54.31166347,2.09,24.1797138939
143,4.4709019148,56.1344533621,2.21,23.6284454651
144,4.3941970047,54.8885979251,2.09,24.1547375257
145,4.4785578722,55.2215881857,2.09,23.8683552597
146,4.5406776492,56.8107615499,2.53,23.3325300068
147,4.5828733884,54.8681918055,2.38,24.0483378089
148,4.4867475725,54.268768194,2.1,23.8071705645
149,4.4179640914,54.7805880115,2.1,23.3577269173
150,4.3833359325,54.1383085051,2.09,23.9523573411
151,4.4482998156,54.8593817753,2.1,23.641206663
152,4.3207617227,54.3798291459,2.09,24.2187652685
153,4.4718307205,54.6844363507,2.09,23.942361762
154,4.5290059317,55.8449694364,2.13,23.5763369994
155,4.3957349777,58.8544083923,2.23,23.9930471558
156,4.4079251693,55.9476151436,2.1,24.2028162746
157,4.3178110815,54.8496775396,2.09,24.2680660807
158,4.7086291554,55.655494505,2.18,23.211018969
159,4.6221274527,56.9465751643,2.39,24.0041077085
160,4.082484559,56.8278188786,2.42,24.5003090505
161,4.3565247915,56.2801253352,2.5,23.7452747202
162,4.370191543,55.8153284526,2.1,23.9920438957
163,4.5240456896,56.1456732196,2.16,24.0806717123
164,4.4049153454,57.4460777517,2.36,24.3664960881
165,4.2910456617,54.6310648297,2.1,24.1386252108
166,4.4607709189,53.7603997909,2.45,24.4066104165
167,4.3663615313,59.1365887304,2.5,24.3612874895
168,4.587291767,59.0774124432,2.56,23.7510103965
169,4.3335926874,58.1563202768,2.39,24.0108198359
170,4.3053398488,58.0303884722,2.37,24.2539892448
171,4.2076245637,59.0423804487,2.45,25.0768137726
172,4.2795539588,57.4874302552,2.2,24.133444091
173,4.3357709551,57.6733911471,2.4,23.7963563592
174,4.3511589608,56.4598881669,2.39,23.548864824
175,4.3823169138,58.7895446835,2.48,24.5512744103
176,4.2747444285,58.8888406776,2.68,24.6136384613
177,4.2990918176,60.0748804447,2.57,24.4817646373
178,4.1923267415,56.6682126795,2.48,24.0882898551
179,3.9955506146,58.5828667987,2.24,24.447029476
180,4.1777311466,56.3468945436,2.19,23.9642675371
181,4.356170204,56.0035861375,2.5,24.2751505525
182,3.9908302918,56.6019101024,2.23,24.44153912
183,4.1303568868,55.5082508507,2.1,24.2801660796
184,3.8730995388,55.4111220686,2.1,24.5887868634
185,4.1061453605,57.2611938845,2.12,24.5205510125
186,4.5373379892,56.6646344128,2.5,23.8860484904
187,4.4387351317,58.1894734883,2.66,24.1916796125
188,4.5354748869,56.3440564065,2.55,24.488508151
189,4.34971638,58.2110392915,2.55,24.2670751982
190,4.6992585878,57.7189107158,2.68,24.2155488786
191,4.2051060249,57.1025745901,2.49,24.4031184591
192,4.4443746209,58.286664254,2.49,23.1139483967
193,4.3436971922,59.9301753727,2.46,24.082543198
194,4.1458185004,56.5466423878,2.35,24.4003998915
195,4.4816608095,56.417909702,2.38,23.6554354464
196,4.2610425723,55.501565083,2.1,24.3258773064
197,4.4354710607,56.6245193152,2.45,24.287927765
198,4.0666384496,56.533989511,2.34,24.8131340708
199,4.312265749,57.0032472351,2.47,23.5017186777
200,4.4383447827,57.2817789824,2.57,23.5718647864
201,4.4064066615,58.0902008716,2.57,23.5378058013
202,4.6479397689,59.852551602,2.6,24.9053948145
203,4.2165838822,55.1623792132,2.22,24.0669151381
204,4.3069164253,56.3499037681,2.38,23.9082451064
205,4.5271146237,57.7517149921,2.54,23.1141456522
206,3.9703367568,57.3070415684,2.5,24.5524987679
207,4.2615512617,57.8295620437,2.47,24.633616684
208,4.2807860352,57.1164130814,2.4,24.1345775503
209,4.4159036714,57.6334744297,2.68,24.1890435636
210,4.3465670759,58.0561045305,2.39,24.1416768261
211,4.3317812193,56.8644822614,2.48,23.9776101471
212,4.5582378456,58.5627570989,2.44,23.9648413418
213,4.539888207,57.8228013906,2.55,23.543864803
214,4.8023601757,59.8440451821,2.67,24.2261018387
215,4.3900804931,59.3957515534,2.68,24.1706437703
216,4.3375789934,55.8287598561,2.14,24.2277761305
217,4.4409705695,55.8088280351,2.59,24.5848138993
218,4.1908812835,53.6834814508,2.11,23.868092633
219,4.3648419089,55.9565410253,2.33,23.8716444562
220,4.4032109091,57.7288200131,2.65,24.2309467418
221,4.2255467394,57.031525763,2.41,24.6098300495
222,4.5347490133,58.4090056144,2.52,24.011537108
223,4.4871693845,55.8341772162,2.39,25.1033794213
224,4.3125618204,56.350575362,2.43,24.6715121882
225,4.1715051903,57.1649470209,2.22,24.1509196171
226,4.0303584937,57.3394672937,2.12,24.5269647225
227,4.454874957,56.5300850176,2.51,24.6684861253
228,4.2490409895,56.8362460513,2.12,24.0666078876
229,4.5016638489,56.5690382581,2.38,24.0867439636
230,4.3944509147,58.0747292087,2.45,23.8692467383
231,4.2739346267,57.3027905321,2.49,23.8903225632
232,4.3956754969,58.3734816751,2.45,24.1880166665
233,4.2011150165,56.3737503702,2.38,24.0922635423
234,4.5338141329,56.8940734666,2.39,23.60963551
235,4.4837279411,55.8149572904,2.45,23.9466040348
236,4.4689883986,55.6705794734,2.45,23.7723354987
237,4.4924569868,56.1014798891,2.34,24.2998031627
238,4.2414354271,55.1734620959,2.1,23.9020370377
239,4.2469969613,55.330178333,2.1,23.906497007
240,4.3469989825,55.6696040889,2.1,23.7684655118
241,4.42450014,54.9870236652,2.1,23.6966759539
242,4.4668588243,55.3021662936,2.1,23.4687042747
243,4.4787521925,55.7103418698,2.14,23.8448846848
244,4.9476754795,57.4821712,2.55,24.1363408681
245,4.2802580139,54.3746082801,2.3,24.2180032494
246,4.4024300154,56.3363264675,2.12,24.9934523896
247,4.6707872677,59.1186504434,2.66,23.6467835742
248,4.5463029348,56.6805836474,2.64,23.5435447487
249,4.6332734454,56.378877471,2.46,23.1580127458
250,4.6467091818,55.2912566292,2.36,23.5159077741
251,4.6041904569,56.2937822171,2.51,23.525648926
252,4.492837968,56.2669310148,2.66,23.3719710208
253,4.2400007106,54.7437978899,2.3,23.6999522534
254,4.5376353975,55.9030667981,2.4,23.3816476368
255,4.8065094721,56.0555294845,2.39,23.6323007314
256,4.5757670261,56.5467035018,2.39,23.0974870517
257,4.9127282123,59.8929415592,2.65,23.542703712
258,4.636084725,56.2201320092,2.37,23.4577991642
259,4.3610462796,56.1051539236,2.1,23.720720528
260,4.3275467956,57.6719688978,2.37,24.3384709599
261,4.4072380728,55.6136370831,2.39,23.4033777131
262,4.6807766359,58.4749282225,2.4,23.7238404937
263,4.4690178583,57.8634981892,2.4,23.7861922002
264,4.5178912761,58.14479583,2.39,23.4689926471
265,4.3808269133,56.2268312415,2.1,24.0537034903
266,4.3136737745,55.0773143525,2.1,24.1072441999
267,4.4369367269,54.8121150331,2.1,23.8068567516
268,4.3624801264,53.9461589786,2.1,24.3363330152
269,4.5519115269,55.2222051533,2.1,23.722576465
270,4.3165243229,55.9467582629,2.09,24.5496308619
271,4.4746826254,54.8443651626,2.1,24.2890632455
272,4.5458118045,55.6064159219,2.1,23.5607221489
273,4.3824407216,54.202833293,2.1,23.8856242543
274,4.6176430544,56.0185167007,2.1,22.9363461665
275,4.4399664499,54.0232549916,2.1,23.9162553816
276,4.5026514578,55.8803691903,2.1,23.8552715169
277,4.0969412017,54.8159389577,2.1,24.514452949
278,4.4533005742,55.8939232096,2.1,23.8133034316
279,4.4199960023,56.5054983342,2.1,23.4464657593
280,4.1790130514,55.2686109833,2.09,24.5999690141
281,4.7797709322,57.4445534479,2.2,23.2324471458
282,4.3443978404,56.1767377399,2.15,24.088787755
283,4.488852791,56.4420078904,2.09,24.0819564625
284,4.2313359999,55.5781538697,2.15,24.2624013372
285,4.3694153989,56.6954682101,2.15,24.4505291015
286,4.6435150018,58.6065513087,2.49,23.8431904993
287,4.4478326489,56.7089572182,2.21,24.4335004785
288,4.5598508185,59.3300830733,2.53,23.7908125775
289,4.2175524236,59.8138593705,2.42,24.3583755402
290,4.5619625248,58.3368075526,2.54,23.9919161542
291,4.8531543957,59.5094981195,2.68,23.4723366854
292,4.6498557137,59.0337292985,2.54,23.8420325287
293,4.2737043582,56.8767170334,2.23,24.059222038
294,4.5220850868,58.3046517732,2.45,23.6517008881
295,4.437207751,57.9849521518,2.46,24.2013122645
296,4.7906317963,58.3929810813,2.53,23.3905647972
297,4.5315014562,58.660326858,2.66,24.0662419065
298,4.3550490202,56.536576701,2.39,23.7599569937
299,4.5848887449,56.224264171,2.14,24.5470396532
300,4.8005890212,57.6442501079,2.34,20.9182146564
301,4.902244813,54.6122053655,2.09,23.7305816694
302,4.2138533945,55.4675770703,2.1,24.4357259543
303,4.836277708,56.3758123115,2.09,23.4412536263
304,4.7183619518,57.9210319027,2.09,24.1857051479
305,4.9169491434,56.3876010706,2.1,23.3204670569
306,4.6489722963,55.2074778399,2.09,23.3211887018
307,4.5861181579,55.7691652005,2.1,23.9447021916
308,5.0028674165,57.1912647199,2.1,23.6312587794
309,4.3568839124,57.2057713545,2.2,24.1717737293
310,4.7552874081,55.0043382264,2.1,23.151250399
311,4.6024339818,54.9877077427,2.1,23.7903097088
312,4.5219474646,55.1585379345,2.1,24.0105885901
313,4.6769442689,56.2526476395,2.1,23.187036869
314,4.6571823449,55.0323789226,2.12,23.6482489525
315,4.2444583728,54.5147721344,2.09,24.6465291
316,4.5533922127,55.6593144449,2.09,23.7288348286
317,4.7418741324,56.0956868793,2.11,23.8094549918
318,4.871024416,58.1368081022,2.52,20.9344863729
319,4.365118984,59.4278960582,2.38,23.2714461422
320,4.8914594995,56.4092645743,2.11,22.9929222639
321,4.6367960008,56.14257273,2.18,21.390951005
322,4.8182126131,57.6041283997,2.38,20.694108089
323,4.6467293545,57.9355484818,2.44,24.0530305556
324,4.6915037129,56.1788043175,2.09,24.1674390377
325,4.3219397547,57.2510721323,2.31,24.2773316236
326,4.3572112741,57.2866161846,2.4,23.891975053
327,4.2725679275,58.9099308309,2.45,24.4357574351
328,4.4128619385,57.2813192916,2.35,24.1667357663
329,4.5455790572,59.3495443128,2.68,23.5597684989
330,4.3689622795,57.39783666,2.5,24.0309980439
331,4.3306111204,58.1711848291,2.54,24.5008783928
332,4.5530348205,58.3976719464,2.53,23.9612667262
333,4.3734752938,57.9383540769,2.3,24.1244838757
334,4.2914086443,60.1829582574,2.48,21.6357710799
335,4.6286163498,59.736431956,2.68,23.6077195788
336,4.5972756896,57.960760599,2.49,23.8386444126
337,4.660275657,59.1408471399,2.47,23.8322841274
338,4.4898908616,58.3269480014,2.52,23.9905744422
339,4.3590417991,56.4639006088,2.15,24.4790032011
340,4.3790156053,56.8848677197,2.21,24.0387750619
341,4.2723665361,56.8710504697,2.47,24.365372144
342,4.5038217312,56.1294573596,2.37,24.0284236764
343,4.1398125754,55.3524875878,2.09,24.6547628944
344,4.1173620515,55.3242802666,2.09,24.6447324142
345,4.080844745,55.9011443697,2.09,24.4206845066
346,4.1506726272,55.3854380518,2.09,24.5959201914
347,4.5281332803,56.3855553157,2.3,23.9751533384
348,4.2627691629,54.8321881229,2.09,24.0317357877
349,3.9783211735,56.3209229707,2.13,24.4473583513
350,4.1557962562,55.1534980084,2.09,24.4166144341
351,4.1176452987,58.4561303912,2.14,24.2719600308
352,3.7154928657,58.1108981485,2.36,26.2084678017
353,4.2071109937,56.1841292851,2.31,24.8755746717
354,3.9498917807,56.4526245102,2.2,24.2453006683
355,4.4506002171,57.1232340468,2.15,23.4281834739
356,4.3234868006,56.1259856855,2.33,24.4817550122
357,4.2280497748,57.7092148678,2.23,23.6120302263
358,4.4177134694,57.5719893366,2.6,24.1448271766
359,4.6220120561,56.917909286,2.14,22.9154440537
360,4.5639871994,56.3962066827,2.15,22.9551524662
361,4.5632748461,58.6150558745,2.54,23.0281359213
362,4.3980913167,55.6538982662,2.12,24.1681220654
363,4.6735033743,57.1266944143,2.42,23.9806006657
364,4.7120303929,56.5831656115,2.27,23.6687675774
365,4.4758876745,54.8755468416,2.11,23.9678970326
366,4.4659323457,57.245508365,2.3,24.0692755333
367,4.4692804992,56.1403897674,2.15,23.9850135375
368,4.4933560802,57.2936142419,2.13,23.9029543858
369,4.4589584852,57.0970173176,2.15,23.9522108286
370,4.4158452435,56.0412651921,2.09,24.5889299045
371,4.545645517,56.8335072953,2.15,24.2094262519
372,4.4512132381,56.5551272803,2.18,24.11670791
373,4.4927996688,58.4771957323,2.44,24.4749653165
374,4.3366027131,57.6580216428,2.38,24.5441781357
375,4.3731079137,58.6136483576,2.52,24.3279912617
376,4.5116136307,58.0796843706,2.27,24.1800977818
377,4.3725707303,55.8017754733,2.13,24.3523214072
378,4.677505081,57.132005328,2.36,24.4909633045
379,4.603966981,59.2089530253,2.55,22.8634737858
380,4.6072027221,59.9635737689,2.43,22.6724726935
381,4.5487566129,55.8501562128,2.09,24.0579044617
382,4.626971333,57.2112610317,2.39,24.3210590196
383,4.5415747533,56.4045762512,2.34,23.0263782071
384,4.722248682,59.9061612379,2.53,22.9566383238
385,3.4370141115,56.86013282,2.34,25.9812665472
386,4.6245618906,54.8469071939,2.11,23.7722519826
387,4.2827326934,56.9804397327,2.19,24.1541399624
388,4.5605070991,56.1493715247,2.14,24.3074668817
389,5.0149470333,57.6969887199,2.13,23.4331177349
390,4.4286719863,59.7911085893,2.42,23.0376173036
391,4.3743009704,57.3099207722,2.18,24.2357390942
392,4.3940293742,57.1182732978,2.11,23.6184784282
393,4.5130241718,58.22754321,2.29,24.4455991403
394,4.7204041004,58.8189327543,2.2,23.3607647362
395,4.4824424026,56.0878249191,2.16,23.416304457
396,4.6243447522,56.7520234588,2.15,23.3896266201
397,4.6667649854,55.9489045716,2.12,23.674872993
398,4.8206450775,57.1491466223,2.09,23.8822688422
399,4.6783700145,56.1858922382,2.14,23.8812699417
400,4.6194669535,55.2091673777,2.09,23.5843131064
401,4.37384956,55.678182805,2.14,24.5812952105
402,4.7146373528,55.6303533053,2.09,23.6431326996
403,5.1934866796,56.9846533069,2.11,22.9248341243
404,4.6102413937,55.1821709543,2.1,23.9716320461
405,4.6718164437,56.0401052796,2.09,23.714538388
406,4.595215615,55.1961977877,2.1,23.5066212166
407,4.2892472839,55.821707254,2.17,24.1585114717
408,4.659177158,57.3812354993,2.14,23.418085767
409,4.1242411761,56.2982747253,2.29,24.5393374409
410,4.2549395064,54.64572982,2.1,24.1421767189
411,4.355361663,53.4002340341,2.11,23.5728019628
412,4.6780881671,55.0223013063,2.1,23.3379321081
413,4.9014258019,57.24734838,2.1,23.2924903974
414,4.6431254494,56.4673535338,2.11,22.974996616
415,4.5471080879,57.4079339408,2.4,23.7657923326
416,4.5212170264,55.5625279147,2.16,23.4886243076
417,4.4614749054,55.371207743,2.11,23.7018448161
418,4.9409513937,56.4758196137,2.1,23.3861587538
419,4.5414489405,56.0685980453,2.37,24.0177272276
420,4.4831399971,56.0424453318,2.17,24.3659775149
421,4.3819325383,56.3783958728,2.38,23.9720770281
422,4.4428662922,58.0566611266,2.22,23.3419859058
423,4.3906968473,56.5765118871,2.12,24.1432066383
424,4.4664627773,56.7896379837,2.39,24.3052832925
425,4.3938739618,56.7229226012,2.1,23.5437793913
426,3.6837422339,57.8377652469,2.43,26.6463905684
427,4.5025748339,58.4315853468,2.48,23.4471856668
428,4.3528238175,58.3067088124,2.47,24.2321659084
429,4.6001376235,58.581010147,2.53,23.6818577843
430,4.7502905377,59.2487997665,2.53,23.5850265599
431,4.2017439016,57.8444967745,2.39,24.2783298706
432,4.4240118861,57.5215725438,2.42,23.8779716103
433,4.4595582081,57.2831173013,2.38,24.4414265261
434,4.3052375727,58.1688085814,2.5,24.1975760524
435,4.2989880564,57.455064377,2.52,23.8880488796
436,4.2100167165,55.8498761021,2.1,24.0950461548
437,4.4848906202,56.6484752559,2.5,23.9171408469
438,4.5434594322,58.7355807675,2.68,23.810654303
439,4.4785924176,57.292780257,2.53,24.0500942968
440,4.631084194,57.438126949,2.41,23.9077947035
441,4.4350364166,58.2844591131,2.51,24.2095786429
442,4.7293459274,59.0290037672,2.53,23.9101978992
443,4.4909877753,58.7671075504,2.58,23.8524769741
444,3.9895470744,57.0386915298,2.2,24.571883635
445,4.4420713608,55.9223948049,2.21,23.9774971913
446,4.2479317401,55.4368996895,2.21,24.2147052998
447,4.5851543276,56.6178658393,2.46,23.8205717417
448,4.5313486689,57.0436536578,2.33,23.9912432724
449,4.4339999032,57.1590272477,2.49,24.11943275
450,4.6200319752,57.7417231315,2.59,23.6248206747
451,4.4731469178,59.2162975912,2.58,24.3568703604
452,4.3633284179,56.3539583927,2.52,24.2253003352
453,4.6505682422,58.1264247274,2.48,24.3972792859
454,4.3278233733,56.8760965011,2.51,24.085083233
455,4.7412240646,58.0469378894,2.54,23.8553347758
456,4.4887448532,55.3999162918,2.46,24.4043348865
457,4.7640628496,54.2098359231,2.09,24.0310408497
458,4.4562787043,54.2846398697,2.09,24.0702411351
459,4.083606649,56.2700241024,2.1,24.2646314325
460,4.43832626,56.6242551243,2.23,23.7858659615
461,4.3428749065,56.5197577601,2.12,24.0745911961
462,4.5147296802,56.1315108201,2.09,23.8405485576
463,4.5992976194,57.6917531379,2.54,23.3732379686
464,4.6852202764,58.6054789498,2.49,23.8996706773
465,4.3654842904,56.8725227534,2.23,23.9858050629
466,4.3593830582,55.3701789117,2.09,24.0538418177
467,4.2239165897,55.4713852665,2.09,24.2026938745
468,4.2222536193,54.9579128402,2.09,24.8771038315
469,4.3655615391,55.9926101781,2.1,24.138654768
470,4.3900376127,56.729591761,2.39,24.2819587705
471,4.4319128213,55.270127165,2.09,24.6263273181
472,4.2562965025,55.516217848,2.1,24.0870387152
473,4.3584862018,56.5738437201,2.39,24.1226098603
474,4.3247607868,57.0873708837,2.22,23.9745126936
475,4.3047156072,56.4292809036,2.11,24.1231965206
476,4.62890283,57.6484954812,2.68,24.0086058468
477,4.5541792169,58.6407966898,2.53,24.3430338711
478,4.4381548969,55.5102668441,2.39,23.8378112906
479,4.4824150255,55.5396611813,2.18,24.358515705
480,4.2081017318,55.5609420111,2.36,24.8293822682
481,4.6048592768,57.3859869939,2.56,23.6724697334
482,4.3579390276,55.9289534751,2.58,24.4669291358
483,4.3401247161,55.9034134044,2.36,24.309732853
484,4.2803159164,56.0315190198,2.51,24.2903557085
485,4.8148131539,57.3009830002,2.54,23.6790331793
486,4.4754283222,57.0159877729,2.68,24.0582886392
487,4.2971716465,57.3521895134,2.64,24.1473426582
488,4.6125382082,57.1760311617,2.68,23.7715420384
489,4.4318511917,55.5412653346,2.36,23.8039348301
490,4.3552358979,55.6581917477,2.15,24.4883000408
491,4.479790213,56.9211408362,2.51,24.2179086977
492,4.4861643175,58.2651970876,2.53,23.4290778627
493,4.2663106503,57.1635785112,2.39,24.1176078827
494,4.4561386165,56.1232915267,2.49,24.290707019
495,4.5943171571,56.112966541,2.49,24.3386563288
496,4.4451918273,58.6659459267,2.68,24.1614793377
497,4.578959751,57.284602063,2.68,23.9314934916
498,4.7405526593,58.4554653287,2.66,24.3687590271
499,4.6248414666,58.2748942611,2.65,24.1891264621
500,4.3473570935,56.7893671568,2.66,24.5323973757
501,4.932134558,58.4132192784,2.59,24.4413562665
502,4.6624253997,57.3569619245,2.6,24.0667782157
503,4.5247939958,57.5926028866,2.6,24.0108870113
504,4.3331811818,56.859534969,2.46,24.6339559432
505,4.4056801584,56.4901640663,2.52,24.3870394941
506,4.6035984633,56.3850769081,2.6,24.1628213938
507,4.6025996785,58.2409734959,2.6,24.2481068918
508,4.7103107447,59.3589957999,2.53,24.8431570844
509,4.4834801027,58.9897414306,2.6,24.2262352717
510,4.3031860637,56.3012806198,2.23,23.7125699232
511,4.4588094505,55.9147449366,2.15,23.7855193774
512,4.3045568387,55.9360560395,2.38,23.9793284116
513,4.6073535694,57.4361352126,2.57,24.5251969821
514,4.5060096224,59.6430183345,2.57,24.1644311199
515,4.1643997214,56.9205697423,2.09,24.4703837964
516,4.6788738297,60.1633741312,2.68,24.4024712095
517,4.5857316579,56.773441821,2.14,23.9973077517
518,4.7432463417,58.171726101,2.67,23.5461681849
519,4.4732128926,58.552885934,2.68,24.144935263
520,4.4639702497,57.3978455736,2.53,23.7097260572
